timestamp,ip,label,status,response_time_ms
2025-10-17 01:29:32,1.1.1.1,Cloudflare DNS,online,37.61
2025-10-17 01:29:34,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:29:34,10.59.249.199,My Laptop,online,0.56
2025-10-17 01:30:16,8.8.8.8,Google DNS,online,79.99
2025-10-17 01:30:16,1.1.1.1,Cloudflare DNS,online,69.15
2025-10-17 01:30:18,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:30:18,10.59.249.199,My Laptop,online,0.3
2025-10-17 01:30:48,8.8.8.8,Google DNS,online,101.05
2025-10-17 01:30:48,1.1.1.1,Cloudflare DNS,online,42.76
2025-10-17 01:30:50,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:30:50,10.59.249.199,My Laptop,online,0.38
2025-10-17 01:31:20,8.8.8.8,Google DNS,online,57.69
2025-10-17 01:31:20,1.1.1.1,Cloudflare DNS,online,43.0
2025-10-17 01:31:22,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:31:22,10.59.249.199,My Laptop,online,0.35
2025-10-17 01:31:52,8.8.8.8,Google DNS,online,56.23
2025-10-17 01:31:53,1.1.1.1,Cloudflare DNS,online,63.94
2025-10-17 01:31:55,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:31:55,10.59.249.199,My Laptop,online,0.36
2025-10-17 01:32:25,8.8.8.8,Google DNS,online,66.39
2025-10-17 01:32:25,1.1.1.1,Cloudflare DNS,online,40.27
2025-10-17 01:32:27,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:32:27,10.59.249.199,My Laptop,online,0.38
2025-10-17 01:32:57,8.8.8.8,Google DNS,online,60.66
2025-10-17 01:32:57,1.1.1.1,Cloudflare DNS,online,39.19
2025-10-17 01:32:59,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:32:59,10.59.249.199,My Laptop,online,1.03
2025-10-17 01:33:29,8.8.8.8,Google DNS,online,70.66
2025-10-17 01:33:29,1.1.1.1,Cloudflare DNS,online,75.7
2025-10-17 01:33:31,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:33:31,10.59.249.199,My Laptop,online,0.88
2025-10-17 01:34:24,8.8.8.8,Google DNS,online,142.28
2025-10-17 01:34:24,1.1.1.1,Cloudflare DNS,online,150.39
2025-10-17 01:34:26,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:34:26,10.59.249.199,My Laptop,online,0.52
2025-10-17 01:34:57,8.8.8.8,Google DNS,online,103.3
2025-10-17 01:34:57,1.1.1.1,Cloudflare DNS,online,77.63
2025-10-17 01:34:59,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:34:59,10.59.249.199,My Laptop,online,0.27
2025-10-17 01:35:29,8.8.8.8,Google DNS,online,66.06
2025-10-17 01:35:29,1.1.1.1,Cloudflare DNS,online,74.91
2025-10-17 01:35:31,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 01:35:31,10.59.249.199,My Laptop,online,0.37
2025-10-17 01:36:01,8.8.8.8,Google DNS,online,54.65
2025-10-17 01:36:01,1.1.1.1,Cloudflare DNS,online,44.55
